epoch: train_acc0 train_acc1 train_acc2 / test_acc0 test_acc1 test_acc2 / pure_ratio0 pure_ratio1 pure_ratio2 
0: 0 0 0 / 9.985977564102564 9.985977564102564 10.006009615384615 / 0 0 0
1: 38.1630608974359 37.610176282051285 38.03485576923077 / 52.52403846153846 55.368589743589745 54.91786858974359 / 81.68821716308594 81.70462799072266 81.70258331298828
2: 50.55488782051282 49.97596153846154 50.592948717948715 / 57.17147435897436 59.765625 66.30608974358974 / 83.7642822265625 83.77479553222656 83.77269744873047
3: 56.49639423076923 56.04967948717949 56.18189102564103 / 66.88701923076923 66.99719551282051 68.26923076923077 / 85.82621765136719 85.83052062988281 85.82836151123047
4: 59.85176282051282 59.98998397435897 60.002003205128204 / 74.14863782051282 73.50761217948718 73.93830128205128 / 87.96640014648438 87.96197509765625 87.96639251708984
5: 62.63822115384615 62.43189102564103 62.49399038461539 / 74.98998397435898 74.49919871794872 75.32051282051282 / 90.07490539550781 90.05675506591797 90.07264709472656
6: 64.54326923076923 64.64342948717949 64.66746794871794 / 78.46554487179488 78.37540064102564 78.73597756410257 / 92.20744323730469 92.18877410888672 92.21907043457031
7: 66.48036858974359 66.328125 66.31610576923077 / 77.35376602564102 79.09655448717949 79.2568108974359 / 93.48299407958984 93.51148986816406 93.49488830566406
8: 68.2051282051282 68.0068108974359 67.75040064102564 / 79.59735576923077 79.38701923076923 79.12660256410257 / 95.23081970214844 95.24304962158203 95.2137222290039
9: 69.40504807692308 69.50120192307692 69.24679487179488 / 81.38020833333333 81.3701923076923 80.55889423076923 / 96.65644073486328 96.60113525390625 96.641357421875
10: 70.71514423076923 70.59695512820512 70.78725961538461 / 81.88100961538461 81.41025641025641 81.7608173076923 / 96.67404174804688 96.68912506103516 96.72431945800781
11: 71.8770032051282 72.00120192307692 71.7988782051282 / 81.62059294871794 81.19991987179488 81.86097756410257 / 96.82235717773438 96.77207946777344 96.76453399658203
12: 73.1270032051282 73.28525641025641 73.11498397435898 / 82.09134615384616 82.52203525641026 81.1298076923077 / 96.84246826171875 96.8575668334961 96.82488250732422
13: 74.21875 74.2207532051282 74.18870192307692 / 82.29166666666667 82.40184294871794 82.92267628205128 / 96.94050598144531 96.98827362060547 96.91788482666016
14: 75.26842948717949 75.13421474358974 74.93990384615384 / 82.87259615384616 83.26322115384616 82.00120192307692 / 96.86257934570312 96.83493041992188 96.8902359008789
15: 75.98758012820512 76.2900641025641 76.02163461538461 / 82.43189102564102 82.23157051282051 82.40184294871794 / 96.8525161743164 96.89273834228516 96.8650894165039
16: 76.64663461538461 76.61858974358974 76.74078525641026 / 82.67227564102564 82.62219551282051 82.36177884615384 / 96.82235717773438 96.79219055175781 96.81732177734375
17: 77.29967948717949 77.33373397435898 77.52003205128206 / 83.21314102564102 82.43189102564102 83.38341346153847 / 96.72681427001953 96.72681427001953 96.751953125
18: 77.97676282051282 78.14302884615384 77.94871794871794 / 82.5020032051282 83.30328525641026 83.40344551282051 / 96.6589584350586 96.61874389648438 96.63381958007812
