epoch: train_acc0 train_acc1 train_acc2 / test_acc0 test_acc1 test_acc2 / pure_ratio0 pure_ratio1 pure_ratio2 
30: 52.42988782051282 52.45793269230769 52.53605769230769 / 75.5108173076923 75.19030448717949 75.01001602564102 / 90.2644271850586 90.2644271850586 90.24839782714844
31: 52.75240384615385 52.87059294871795 52.678285256410255 / 75.57091346153847 75.67107371794872 75.53084935897436 / 90.07612609863281 90.02804565429688 90.09615325927734
32: 53.11298076923077 53.15304487179487 52.98677884615385 / 75.24038461538461 75.96153846153847 74.94991987179488 / 89.9158706665039 89.8397445678711 89.88381958007812
33: 53.34935897435897 53.157051282051285 53.31730769230769 / 75.42067307692308 76.12179487179488 76.33213141025641 / 89.9959945678711 90.12419891357422 90.12019348144531
34: 53.42948717948718 53.391426282051285 53.439503205128204 / 75.26041666666667 75.59094551282051 76.14182692307692 / 89.89583587646484 89.83573913574219 89.7596206665039
35: 53.61378205128205 53.58573717948718 53.59775641025641 / 75.62099358974359 75.88141025641026 75.62099358974359 / 89.71554565429688 89.73157501220703 89.71955108642578
36: 53.89823717948718 54.07852564102564 53.99639423076923 / 74.10857371794872 74.85977564102564 74.42908653846153 / 89.81971740722656 89.79167175292969 89.83173370361328
37: 53.85216346153846 54.08653846153846 53.91826923076923 / 74.81971153846153 73.73798076923077 74.73958333333333 / 89.53926849365234 89.56731414794922 89.65945434570312
38: 54.29286858974359 54.1005608974359 54.322916666666664 / 74.06850961538461 75.36057692307692 74.88982371794872 / 89.75160217285156 89.56330108642578 89.53125
39: 54.15464743589744 54.3369391025641 54.31690705128205 / 75.3505608974359 75.11017628205128 75.33052884615384 / 89.47917175292969 89.53926849365234 89.47115325927734
40: 54.30288461538461 54.51121794871795 54.475160256410255 / 75.05008012820512 75.37059294871794 75.30048076923077 / 89.47115325927734 89.49919891357422 89.35497283935547
41: 54.767628205128204 54.59134615384615 54.59334935897436 / 75.03004807692308 75.30048076923077 75.40064102564102 / 89.2147445678711 89.31089782714844 89.3309326171875
42: 54.943910256410255 54.84375 54.865785256410255 / 74.81971153846153 75.20032051282051 75.0400641025641 / 89.47115325927734 89.4871826171875 89.47917175292969
43: 54.821714743589745 54.91386217948718 54.89182692307692 / 74.02844551282051 74.77964743589743 74.79967948717949 / 89.3309326171875 89.34695434570312 89.34294891357422
44: 54.84975961538461 55.0 55.09815705128205 / 74.76963141025641 75.10016025641026 75.18028846153847 / 89.13862609863281 89.20673370361328 89.2908706665039
45: 55.19831730769231 55.11418269230769 55.25040064102564 / 74.88982371794872 75.15024038461539 74.44911858974359 / 89.05048370361328 89.0625 89.07452392578125
46: 55.16426282051282 55.3525641025641 55.42668269230769 / 75.29046474358974 75.5108173076923 75.21033653846153 / 88.99439239501953 88.99439239501953 89.0144271850586
47: 55.548878205128204 55.47475961538461 55.58293269230769 / 74.78966346153847 75.56089743589743 74.5292467948718 / 88.99439239501953 88.99038696289062 89.0625
48: 55.57491987179487 55.63301282051282 55.62900641025641 / 74.79967948717949 74.57932692307692 74.23878205128206 / 89.01042175292969 89.10657501220703 89.07051849365234
49: 55.627003205128204 55.54286858974359 55.45072115384615 / 75.42067307692308 74.88982371794872 74.30889423076923 / 88.93429565429688 88.84214782714844 88.91426849365234
50: 55.71514423076923 55.45873397435897 55.701121794871796 / 74.609375 74.43910256410257 73.88822115384616 / 88.67788696289062 88.78205108642578 88.818115234375
51: 55.891426282051285 55.94951923076923 55.73918269230769 / 74.07852564102564 74.30889423076923 73.77804487179488 / 88.84615325927734 88.64583587646484 88.74198913574219
52: 55.9775641025641 56.01963141025641 56.04366987179487 / 75.16025641025641 74.61939102564102 74.00841346153847 / 88.84615325927734 88.75 88.68589782714844
53: 56.15184294871795 56.18389423076923 56.09975961538461 / 74.04847756410257 75.01001602564102 75.41065705128206 / 88.77804565429688 88.72195434570312 88.78606414794922
54: 56.14783653846154 56.09775641025641 56.071714743589745 / 74.1386217948718 74.20873397435898 74.41907051282051 / 88.44952392578125 88.46554565429688 88.4334945678711
